int __fastcall sub_8C7A8(int a1, util::SharedPtrDefaultBase *a2, const util::SharedPtrDefaultBase *a3)
{
  int v3; // r4
  *(_DWORD *)(v3 + 3372) = 0;
  *(_DWORD *)(v3 + 3376) = 0;
  *(_DWORD *)(v3 + 3400) = 0;
  *(_DWORD *)(v3 + 3408) = 0;
  *(_DWORD *)(v3 + 3412) = &off_1126F8;
  util::SharedPtrDefaultBase::SharedPtrDefaultBase(
    (util::SharedPtrDefaultBase *)(v3 + 3416),
    (void (__cdecl *)(void *, void *))util::SharedPtr<jobsmng::CJobsManager,util::SharedPtrDefaultBase>::deleteObject,
    0);
  util::SharedPtrDefaultBase::SharedPtrDefaultBase(
    (util::SharedPtrDefaultBase *)(v3 + 3428),
    (void (__cdecl *)(void *, void *))sub_3115C,
    0);
  *(_DWORD *)(v3 + 3440) = 0;
  *(_DWORD *)(v3 + 3444) = 0;
  *(_DWORD *)(v3 + 3448) = 0;
  sub_3F38C(v3 + 3452, 2);
  *(_DWORD *)(v3 + 3592) = 0;
  *(_BYTE *)(v3 + 3576) = 0;
  *(_DWORD *)(v3 + 3596) = 15;
  sub_340A0((void *)(v3 + 3600), "XT");
  *(_DWORD *)(v3 + 3636) = 0;
  *(_DWORD *)(v3 + 3640) = 0;
  *(_DWORD *)(v3 + 3624) = 1;
  *(_DWORD *)(v3 + 3628) = 1;
  *(_BYTE *)(v3 + 3632) = 1;
  *(_BYTE *)(v3 + 3633) = 1;
  v33 = operator new(0x58u);
  v34 = v3 + 3656;
  *(_DWORD *)v33 = v33;
  *(_DWORD *)(v33 + 4) = v33;
  *(_DWORD *)(v33 + 8) = v33;
  *(_BYTE *)(v33 + 12) = 1;
  *(_BYTE *)(v33 + 13) = 1;
  *(_DWORD *)(v3 + 3636) = v33;
  do
  {
    *(_DWORD *)(v34 - 12) = 0;
    v34 += 12;
    *(_DWORD *)(v34 - 20) = 0;
    *(_DWORD *)(v34 - 16) = 0;
  }
  while ( v34 != v3 + 3800 );
  v35 = v3 + 3792;
  do
  {
    *(_BYTE *)(v35 - 4) = 0;
    v35 += 4;
    *(_BYTE *)(v35 - 7) = 0;
    *(_BYTE *)(v35 - 6) = 0;
    *(_BYTE *)(v35 - 5) = 0;
  }
  while ( v35 != v3 + 3840 );
  *(_DWORD *)(v3 + 3836) = 0;
  *(_DWORD *)(v3 + 3840) = 0;
  *(_DWORD *)(v3 + 3844) = 0;
  *(_DWORD *)(v3 + 3848) = 0;
  *(_DWORD *)(v3 + 3852) = 0;
  v36 = operator new(0x2Cu);
  *(_DWORD *)v36 = v36;
  *(_BYTE *)(v36 + 12) = 1;
  *(_BYTE *)(v36 + 13) = 1;
  *(_DWORD *)(v36 + 4) = v36;
  *(_DWORD *)(v36 + 8) = v36;
  *(_DWORD *)(v3 + 3848) = v36;
  *(_DWORD *)(v3 + 3856) = 0;
  *(_DWORD *)(v3 + 3860) = 0;
  v37 = operator new(0x2Cu);
  *(_DWORD *)v37 = v37;
  *(_BYTE *)(v37 + 12) = 1;
  *(_BYTE *)(v37 + 13) = 1;
  *(_DWORD *)(v37 + 4) = v37;
  *(_DWORD *)(v37 + 8) = v37;
  *(_DWORD *)(v3 + 3888) = 15;
  *(_DWORD *)(v3 + 3856) = v37;
  *(_BYTE *)(v3 + 3892) = 1;
  *(_BYTE *)(v3 + 3894) = 1;
  *(_BYTE *)(v3 + 3898) = 1;
  *(_BYTE *)(v3 + 3864) = 0;
  *(_BYTE *)(v3 + 3865) = 0;
  *(_BYTE *)(v3 + 3866) = 0;
  *(_BYTE *)(v3 + 3867) = 0;
  *(_DWORD *)(v3 + 3884) = 0;
  *(_BYTE *)(v3 + 3868) = 0;
  *(_BYTE *)(v3 + 3893) = 0;
  *(_BYTE *)(v3 + 3895) = 0;
  *(_BYTE *)(v3 + 3896) = 0;
  *(_BYTE *)(v3 + 3897) = 0;
  *(_BYTE *)(v3 + 3899) = 0;
  *(_BYTE *)(v3 + 3900) = 0;
  *(_DWORD *)(v3 + 3904) = 0;
  *(_WORD *)(v3 + 3908) = 0;
  *(_WORD *)(v3 + 3910) = 0;
  *(_BYTE *)(v3 + 3912) = 0;
  *(_BYTE *)(v3 + 3913) = 0;
  util::SharedPtrDefaultBase::SharedPtrDefaultBase(
    (util::SharedPtrDefaultBase *)(v3 + 3916),
    (void (__cdecl *)(void *, void *))util::SharedPtr<std::vector<util::SharedPtr<networking_::SWlan5GXmlConfig,util::SharedPtrDefaultBase>,std::allocator<util::SharedPtr<networking_::SWlan5GXmlConfig,util::SharedPtrDefaultBase>>>,util::SharedPtrDefaultBase>::deleteObject,
    0);
  snprintf(&v133, 0x3Fu, "%s::%s", "WLAN", "WLAN");
  readlist((util::SharedPtrDefaultBase *)&v91);
  util::SharedPtrDefaultBase::operator=(v3 + 3916, &v91);
  util::SharedPtrDefaultBase::~SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91);
  sub_C5DE0(v3 + 964, 600000, 0);
  sub_51ECC(v84, 0, sub_3115C, 0);
LABEL_26:
  v38 = *(_DWORD *)(v3 + 928);
  while ( !v38 || !*(_DWORD *)(v3 + 932) || !nullsub_12 )
  {
    v63 = operator new(16, &std::nothrow);
    sub_777C8();
    sub_51ECC(v84, v63, sub_3115C, 0);
    v38 = *(_DWORD *)(v3 + 928);
    if ( !v38 || !*(_DWORD *)(v3 + 932) || !nullsub_12 )
    {
      std::GlobalErrorHandler::doOutOfMem(
        (std::GlobalErrorHandler *)"/home/jenkins/workspace/PM_mib2p_build_prod/connectivity/app_connection_manager/src/WLAN.cxx",
        (const char *)&elf_gnu_hash_indexes[16] + 3,
        (int)"WLAN",
        "Could not create AoF for async callbacks",
        v79);
      goto LABEL_26;
    }
  }
  sub_51ECC(v82, 0, sub_3115C, 0);
LABEL_31:
  v39 = *(_DWORD *)(v3 + 940);
  while ( !v39 || !*(_DWORD *)(v3 + 944) || !nullsub_12 )
  {
    v62 = operator new(16, &std::nothrow);
    sub_777C8();
    sub_51ECC(v82, v62, sub_3115C, 0);
    v39 = *(_DWORD *)(v3 + 940);
    if ( !v39 || !*(_DWORD *)(v3 + 944) || !nullsub_12 )
    {
      std::GlobalErrorHandler::doOutOfMem(
        (std::GlobalErrorHandler *)"/home/jenkins/workspace/PM_mib2p_build_prod/connectivity/app_connection_manager/src/WLAN.cxx",
        (const char *)&elf_gnu_hash_indexes[18],
        (int)"WLAN",
        "Could not create AoF for async start/stop",
        v79);
      goto LABEL_31;
    }
  }
  sub_51ECC(v86, 0, sub_3115C, 0);
LABEL_36:
  v40 = *(_DWORD *)(v3 + 952);
  while ( !v40 || !*(_DWORD *)(v3 + 956) || !nullsub_12 )
  {
    v61 = operator new(16, &std::nothrow);
    sub_777C8();
    sub_51ECC(v86, v61, sub_3115C, 0);
    v40 = *(_DWORD *)(v3 + 952);
    if ( !v40 || !*(_DWORD *)(v3 + 956) || !nullsub_12 )
    {
      std::GlobalErrorHandler::doOutOfMem(
        (std::GlobalErrorHandler *)"/home/jenkins/workspace/PM_mib2p_build_prod/connectivity/app_connection_manager/src/WLAN.cxx",
        (const char *)&elf_gnu_hash_indexes[19] + 1,
        (int)"WLAN",
        "Could not create AoF for async start/stop",
        v79);
      goto LABEL_36;
    }
  }
  sub_51ECC(v83, 0, util::SharedPtr<jobsmng::CJobsManager,util::SharedPtrDefaultBase>::deleteObject, 0);
LABEL_41:
  v41 = *(_DWORD *)(v3 + 904);
  while ( !v41
       || !*(_DWORD *)(v3 + 908)
       || !util::SharedPtr<jobsmng::CJobsManager,util::SharedPtrDefaultBase>::bool_like_thing )
  {
    v91 = 0;
    v92 = 0;
    v57 = (_DWORD *)operator new(0x34u);
    *v57 = v57;
    v57[1] = v57;
    v57[2] = v57;
    *((_BYTE *)v57 + 12) = 1;
    *((_BYTE *)v57 + 13) = 1;
    v91 = v57;
    v93 = 1;
    v94 = 0;
    v58 = operator new(240, &std::nothrow);
    sub_DA01C();
    sub_51ECC(v83, v58, util::SharedPtr<jobsmng::CJobsManager,util::SharedPtrDefaultBase>::deleteObject, 0);
    sub_8C5A0(&v91, *((_DWORD *)v91 + 1));
    v59 = v91;
    v59[1] = v59;
    *v59 = v59;
    v60 = v91;
    v60[2] = v60;
    v92 = 0;
    operator delete(v60);
    v41 = *(_DWORD *)(v3 + 904);
    if ( !v41
      || !*(_DWORD *)(v3 + 908)
      || !util::SharedPtr<jobsmng::CJobsManager,util::SharedPtrDefaultBase>::bool_like_thing )
    {
      std::GlobalErrorHandler::doOutOfMem(
        (std::GlobalErrorHandler *)"/home/jenkins/workspace/PM_mib2p_build_prod/connectivity/app_connection_manager/src/WLAN.cxx",
        (const char *)&elf_gnu_hash_indexes[20] + 1,
        (int)"WLAN",
        "Could not create jobmng2",
        v79);
      goto LABEL_41;
    }
  }
  util::SharedPtrDefaultBase::SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91, v84);
  util::SharedPtrDefaultBase::operator=(v3 + 3428, &v91);
  util::SharedPtrDefaultBase::operator=(v3 + 3416, v83);
  util::SharedPtrDefaultBase::~SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91);
  sub_51ECC(
    v85,
    0,
    util::SharedPtr<networking_::AsyncTaskWlanSignalStrength,util::SharedPtrDefaultBase>::deleteObject,
    0);
LABEL_46:
  v42 = *(_DWORD *)(v3 + 916);
  while ( !v42
       || !*(_DWORD *)(v3 + 920)
       || !util::SharedPtr<networking_::AsyncTaskWlanSignalStrength,util::SharedPtrDefaultBase>::bool_like_thing )
  {
    v56 = (_DWORD *)operator new(496, &std::nothrow);
    sub_7C790();
    v56[112] = v3;
    *v56 = &off_112830;
    util::SharedPtrDefaultBase::SharedPtrDefaultBase((util::SharedPtrDefaultBase *)(v56 + 113), v83);
    util::SharedPtrDefaultBase::SharedPtrDefaultBase((util::SharedPtrDefaultBase *)(v56 + 116), v82);
    v56[119] = 0;
    v56[120] = 0;
    v56[121] = 0;
    v56[122] = 0;
    sub_51ECC(
      v85,
      v56,
      util::SharedPtr<networking_::AsyncTaskWlanSignalStrength,util::SharedPtrDefaultBase>::deleteObject,
      0);
    v42 = *(_DWORD *)(v3 + 916);
    if ( !v42
      || !*(_DWORD *)(v3 + 920)
      || !util::SharedPtr<networking_::AsyncTaskWlanSignalStrength,util::SharedPtrDefaultBase>::bool_like_thing )
    {
      std::GlobalErrorHandler::doOutOfMem(
        (std::GlobalErrorHandler *)"/home/jenkins/workspace/PM_mib2p_build_prod/connectivity/app_connection_manager/src/WLAN.cxx",
        (const char *)&elf_gnu_hash_indexes[23],
        (int)"WLAN",
        "Could not create Wlan strenght refresh task",
        v79);
      goto LABEL_46;
    }
  }
  sub_340A0(&v101, "anp_coding");
  sub_691CC(&v91, off_11700C, unk_117010, &v89);
  v97 = v3;
  v100 = &v96;
  v96 = &off_111170;
  sub_46318(v3 + 3636, &v101, &v91, &v96, v3 + 460, 0);
  if ( v100 )
    ((void (*)(void))(*v100)[4])();
  if ( v91 )
    operator delete(v91);
  sub_32C50((void **)&v101, 1, 0);
  *(_BYTE *)(v3 + 3348) = osal::FileSys::exists((osal::FileSys *)"/tmp/brcm_wifi", (const char *)&dword_0 + 1, v43) == 0;
  v45 = osal::FileSys::exists((osal::FileSys *)"/var/customer_ap5g_vis_tie_rse", (const char *)&dword_0 + 1, v44);
  if ( v45 < 0 )
  {
    if ( word_119F64 <= 3 )
      tracing::Channel::logCV(
        (tracing::Channel *)&_tracing__channel_CON_CONMAN_WLAN,
        3,
        "%s(%d): Could not determine AP5G visibility. Using default.",
        &v133,
        514);
  }
  else
  {
    *(_BYTE *)(v3 + 2800) = v45 == 0;
  }
  v46 = (_QWORD *)operator new(48, &std::nothrow);
  *(_BYTE *)v46 = 0;
  v46[1] = 0LL;
  util::SharedPtrDefaultBase::SharedPtrDefaultBase(
    (util::SharedPtrDefaultBase *)&v91,
    0,
    (void (__cdecl *)(void *, void *))sub_483E8,
    0);
  util::SharedPtrDefaultBase::SharedPtrDefaultBase(
    (util::SharedPtrDefaultBase *)(v46 + 2),
    (const util::SharedPtrDefaultBase *)&v91);
  util::SharedPtrDefaultBase::~SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91);
  *((_DWORD *)v46 + 7) = 0;
  *((_DWORD *)v46 + 8) = 0;
  util::SharedPtrDefaultBase::SharedPtrDefaultBase(
    (util::SharedPtrDefaultBase *)&v91,
    0,
    (void (__cdecl *)(void *, void *))sub_483E8,
    0);
  util::SharedPtrDefaultBase::SharedPtrDefaultBase(
    (util::SharedPtrDefaultBase *)((char *)v46 + 36),
    (const util::SharedPtrDefaultBase *)&v91);
  util::SharedPtrDefaultBase::~SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91);
  util::SharedPtrDefaultBase::SharedPtrDefaultBase(
    (util::SharedPtrDefaultBase *)&v91,
    v46,
    (void (__cdecl *)(void *, void *))sub_61FFC,
    0);
  util::SharedPtrDefaultBase::operator=(v3 + 2872, &v91);
  util::SharedPtrDefaultBase::~SharedPtrDefaultBase((util::SharedPtrDefaultBase *)&v91);
  if ( *(_BYTE *)(v3 + 3348) )
  {
    v47 = (_DWORD *)operator new(0x1F8u);
    v47[1] = 1;
    v47[2] = 1;
    v48 = (int)v47;
    *v47 = &off_112968;
    v49 = v47 + 4;
    sub_A81C8(v47 + 4, 1, v3 + 452, 1, v88, v82);
    v91 = v49;
    v92 = (_DWORD *)v48;
    sub_692C0(v3 + 3356, &v91);
    if ( v92 )
      sub_3946C();
    v50 = (_DWORD *)operator new(0x1F8u);
    v50[1] = 1;
    v50[2] = 1;
    *v50 = &off_112968;
    sub_A81C8(v50 + 4, 0, v3 + 452, 0, v88, v82);
    v91 = v50 + 4;
    v92 = v50;
    sub_692C0(v3 + 3364, &v91);
    if ( v92 )
      sub_3946C();
    v51 = (_DWORD *)operator new(0xF4u);
    v51[1] = 1;
    v51[2] = 1;
    v52 = (int)v51;
    *v51 = &off_112988;
    v53 = v51 + 3;
    sub_ACB9C(v51 + 3, v3 + 456, v88, v83, v82, v84);
    v91 = v53;
    v92 = (_DWORD *)v52;
    sub_692E0(v3 + 3372, &v91);
    if ( v92 )
      sub_3946C();
    sub_825F0(*(_DWORD *)(v3 + 3356) + 16, v3 + 480);
    sub_825F0(*(_DWORD *)(v3 + 3364) + 16, v3 + 480);
    sub_825F0(*(_DWORD *)(v3 + 3372) + 12, v3 + 480);
    if ( (!*(_DWORD *)(v3 + 3372) || !*(_DWORD *)(v3 + 3356) || !*(_DWORD *)(v3 + 3364)) && word_119F64 <= 5 )
      tracing::Channel::logCV(
        (tracing::Channel *)&_tracing__channel_CON_CONMAN_WLAN,
        5,
        "%s(%d): couldn't instantiate",
        &v133,
        530);
  }
  else
  {
    v64 = (_DWORD *)operator new(0xF4u);
    v64[1] = 1;
    v64[2] = 1;
    v65 = (int)v64;
    *v64 = &off_112988;
    v66 = v64 + 3;
    sub_ACB9C(v64 + 3, v3 + 456, v88, v83, v82, v84);
    v91 = v66;
    v92 = (_DWORD *)v65;
    sub_692E0(v3 + 3372, &v91);
    if ( v92 )
      sub_3946C();
    if ( !*(_DWORD *)(v3 + 3372) && word_119F64 <= 5 )
      tracing::Channel::logCV(
        (tracing::Channel *)&_tracing__channel_CON_CONMAN_WLAN,
        5,
        "%s(%d): couldn't instantiate",
        &v133,
        538);
  }
  osal::NetDevice::NetDevice((osal::NetDevice *)&v96, 0);
  if ( v98 && v99 != -1 )
  {
    v102 = 0;
    LOBYTE(v101) = 0;
    v105 = 0;
    v107 = 0;
    v111 = 0;
    v115 = 0;
    LOBYTE(v104[0]) = 0;
    v113 = 0;
    LOBYTE(v112[0]) = 0;
    v109 = 0;
    LOBYTE(v108[0]) = 0;
    v126 = 0;
    v127 = 0;
    v128 = 0;
    v116 = 0;
    v117 = 0;
    v118 = 0;
    v129 = 0;
    v130 = 0;
    v125 = 0;
    v131 = 0;
    v119 = 0;
    v120 = 0;
    v121 = 0;
    v122 = 0;
    v123 = 0;
    v124 = 0;
    v103 = 15;
    v106 = 15;
    v110 = 15;
    v114 = 15;
    v132 = 2;
LABEL_69:
    if ( osal::NetDevice::getNextInfo(&v96, &v101) )
    {
LABEL_73:
      sub_32C50(v112, 1, 0);
      sub_32C50(v108, 1, 0);
      sub_32C50(v104, 1, 0);
      sub_32C50((void **)&v101, 1, 0);
      goto LABEL_74;
    }
    while ( 1 )
    {
      if ( sub_4BE38(&v101, "uap0") && sub_4BE38(&v101, "bcm1") )
      {
        if ( sub_4BE38(&v101, "uap1") && sub_4BE38(&v101, "bcm0") )
        {
          if ( !sub_4BE38(&v101, "bcm2") )
          {
            sub_83008(&v95, &v101, v3 + 672);
            sub_32C50((void **)&v95, 1, 0);
          }
          goto LABEL_69;
        }
        sub_83008(&v95, &v101, v3 + 640);
        v54 = (void *)(v3 + 604);
      }
      else
      {
        sub_83008(&v95, &v101, v3 + 632);
        v54 = (void *)(v3 + 580);
      }
      std::string::operator=(v54, &v95);
      sub_32C50((void **)&v95, 1, 0);
      if ( osal::NetDevice::getNextInfo(&v96, &v101) )
        goto LABEL_73;
    }
  }
LABEL_74:
  if ( *(_DWORD *)(v3 + 596) && *(_DWORD *)(v3 + 620) )
  {
    if ( word_119F64 <= 2 )
    {
      v67 = *(_DWORD *)(v3 + 624);
      v68 = v67 >= 0xF;
      v69 = v67 == 15;
      if ( v67 > 0xF )
        v67 = *(_DWORD *)(v3 + 604);
      if ( v69 || !v68 )
        v67 = v3 + 604;
      tracing::Channel::logCV(
        (tracing::Channel *)&_tracing__channel_CON_CONMAN_WLAN,
        2,
        "%s(%d): 5G AP  MAC: %s",
        &v133,
        567,
        v67);
      if ( word_119F64 <= 2 )
      {
        v70 = *(_DWORD *)(v3 + 600);
        v71 = v70 >= 0xF;
        v72 = v70 == 15;
        if ( v70 > 0xF )
          v70 = *(_DWORD *)(v3 + 580);
        if ( v72 || !v71 )
          v70 = v3 + 580;
        tracing::Channel::logCV(
          (tracing::Channel *)&_tracing__channel_CON_CONMAN_WLAN,
          2,
          "%s(%d): 2G AP  MAC: %s",
          &v133,
          568,
          v70);
        if ( word_119F64 <= 2 )
          tracing::Channel::logCV(
            (tracing::Channel *)&_tracing__channel_CON_CONMAN_WLAN,
            2,
            (const char *)&unk_100B1C,
            &v133,
            569,
            v80,
            *(_QWORD *)(v3 + 672));
      }
    }
    *(_QWORD *)(v3 + 712) ^= *(_QWORD *)(v3 + 632) ^ (*(_QWORD *)(v3 + 640) >> 8);
  }
  else if ( word_119F64 <= 5 )
  {
    tracing::Channel::logCV(
      (tracing::Channel *)&_tracing__channel_CON_CONMAN_WLAN,
      5,
      "%s(%d): UNABLE TO RECEIVE WLAN MACs -> WLAN NOT WORKING",
      &v133,
      563);
  }
  ((void (__fastcall *)(int))loc_7FF1C)(v3);
  sub_74024(v3);
  if ( osal::SecureRandom::GetQuality((osal::SecureRandom *)(v3 + 2804)) && word_119F64 <= 3 )
    tracing::Channel::logCV(
      (tracing::Channel *)&_tracing__channel_CON_CONMAN_WLAN,
      3,
      "%s(%d): Crypto source is unsafe!",
      &v133,
      578);
  sub_340A0(&v101, "dsi_fakeRequest_Set5GMcc");
  v90 = 0;
  *(_DWORD *)&v89 = networking_::WLAN::fakeSet5GMcc;
  sub_7CCD8(&dword_11A050, &v101, v3, networking_::WLAN::fakeSet5GMcc, 0);
  sub_32C50((void **)&v101, 1, 0);
  sub_340A0(&v101, "dsi_fakeRequest_Set5GMccNav");
  v92 = 0;
  v91 = networking_::WLAN::fakeSet5GMccNav;
  sub_7CCD8(&dword_11A050, &v101, v3, networking_::WLAN::fakeSet5GMccNav, 0);
  sub_32C50((void **)&v101, 1, 0);
  osal::NetDevice::~NetDevice((osal::NetDevice *)&v96);
  return v3;
}
